name,true_sentiment,text,normalized_text,key_words
Слой х Вспышка,Positive,"Самая любимая кафешка на районе: вкуснейший кофе и выпечка, большой выбор красивых эклеров (дочь обожает и съедает по 2 штуки за раз😄). С удовольствием приходим сюда с друзьями, родными. Иногда тут бывает многовато людей и официанты бывают немного фрустрированы, но всегда очень внимательны и дружелюбны – при любой посадке про вас не забудут🤍",самый любимая кафешка район вкусный кофе выпечка большой выбор красивый эклер дочь обожать съедать штука удовольствие приходить сюда друг родные бывать многовато человек официант бывать немного фрустрировать очень внимательный дружелюбный любой посадка забывать,"[('самый любимая', np.float64(0.01813530724319174)), ('посадка забывать', np.float64(0.01813530724319174)), ('любимая кафешка', np.float64(0.03017914713307598)), ('кафешка район', np.float64(0.03017914713307598)), ('район вкусный', np.float64(0.03017914713307598))]"
Оливье Жиру,Negative,"Ну , вот добрался наконец и до вас 👌 Что можно сказать о качестве блюд домашней кухни , как было заявлено в рекламных буклетах и баннерах ,  Не дотягивает даже на троечку , по десятибалльной шкале , блюда при наличии микроволновых печей , всё равно остаются холодные  ! Качество мойки столовых приборов , ну может быть моют в туалетной комнате персонала в субботу , подали вилку с засохшем куском какой то субстанции  , попросил поменять , принесли практически  такую же , только субстанции меньше !  Со стороны кассы ,  персонала , и прилавка с кормом ( по другому я не могу это назвать ) постоянно кто то ходит , какой-то человек с длинными волосами , тут же его обгоняет мадам  в платке траурном из средней Азии  , и всё это происходит  рядом с кормом , который находится в доступности их бацил , волос , слюней и тд  .. По персоналу пройдусь отдельно ,  Натянутые улыбки , не первой свежести спец одежда  , какая то полубандана на головах , из которой торчат и падают , ВОЛОСЫ ( это общепит ребята , вы угораете ?)  Дверь входная , постоянно открыта , не имеете возможности поставить кондиционер в помещении ?? ( зачем тогда вы этим занимаетесь ?? )  Уборка отвратительная  , полы грязные , столы аналогично   ! Нет элементарных салфеток за столами , что бы протереть ваши немытые вилки , ножи , ложки !  Качество блюд не особо радует , потому , что попробовал их холодными ,  Драники у вас это плевок в душу поварскому искусству ,  Вообщем дегустация вашей кулинарии , получилась провальной , какая то 1000 рублей на заказанные позиции ,  и вы в топе моего чёрного списка  ! Даже не хочется оставлять вам шанс на реабилитацию 👌",добираться сказать качество блюдо домашний кухня заявлять рекламный буклет баннер дотягивать троечка десятибалльный шкала блюдо наличие микроволновый печь равный оставаться холодный качество мойка столовый прибор мочь мыть туалетный комната персонал суббота подавать вилка засыхать кусок субстанция попросить поменять приносить практически субстанция мало сторона касса персонал прилавок корм мочь называть постоянно ходить человек длинный волос оно обгонять мадам платок траурный средний азия весь происходить рядом корм который находиться доступность бацил волос слюни персонал проходиться отдельно натягивать улыбка первый свежесть спец одежда полубандана голова который торчать падать волос общепит ребята угорать дверь входной постоянно открывать иметь возможность поставлять кондиционер помещение заниматься уборка отвратительный пол грязный стол аналогично элементарный салфетка стол протирать ваш немытый вилка нож ложка качество блюдо особо радовать попробовать холодный драник плевок душа поварской искусство вообщий дегустация ваш кулинария получаться провальный рубль заказывать позиция топ черный список хотеться оставлять шанс реабилитация,"[('шанс реабилитация', np.float64(0.0127885633284781)), ('качество блюдо', np.float64(0.017795368747238756)), ('домашний кухня', np.float64(0.019115601909899672)), ('кухня заявлять', np.float64(0.019115601909899672)), ('заявлять рекламный', np.float64(0.019115601909899672))]"
BBQ kitchen,Positive,"Шикарное место, вкусно готовит, приятная атмосфера! Только официанты далеко не. Сразу обращают внимания",шикарный место вкусно готовить приятный атмосфера официант далеко сразу обращать внимание,"[('шикарный место', np.float64(0.04940384002065631)), ('обращать внимание', np.float64(0.04940384002065631)), ('место вкусно', np.float64(0.09700399286574239)), ('вкусно готовить', np.float64(0.09700399286574239)), ('готовить приятный', np.float64(0.09700399286574239))]"
Роща,Negative,"23.02.23 отмечали день рождение в Роще, столик заранее заказали на 17 часов. Была заказана сковорода с картошкой и мясом... Блюдо было приготовлено из мороженной картошки, она была сладкая, но ОЧЕНЬ шикарно сдобрено перцем. Также были заказаны шашлыки, люля и ароматные куриные крылышки... В 21 час пошли требовать где вышеперечисленные яства, но получили грубую брань, с дерзким переходом на ТЫ. Расчёт наверно был на то, что народ не трезвый и забудет про заказ. Но мы не забыли. Чтобы отделаться от нас, нам наконец принесли шашлыки, люля и крылышки, но все это тупо разбросали на две тарелки мясной кучей. В этом ассорти было уменьшено количество порции, ав общей массе этого не заметно, но мы все проверили... А музыка это отдельный разговор! Заказали песню, так даже имя не смог ведущий запомнить, хотя за весь вечер всего три заказа было. Стоимость 300 руб.!!! В Береге живая музыка и всего 200 руб.. Вывод:первый и последний раз в Роще. Еще:язык был не доварен, не жевался, а рыбная нарезка из старой рыбы. ",отмечать день рождение роща столик заранее заказывать час заказывать сковорода картошка мясо блюдо приготавливать мороженный картошка сладкий очень шикарно сдабривать перец также заказывать шашлык люля ароматный куриный крылышко час пойти требовать вышеперечисленный яство получать грубый брань дерзкий переход расчет наверно народ трезвый забывать заказ забывать отделываться приносить шашлык люля крылышко весь тупо разбрасывать тарелка мясной куча ассорти уменьшать количество порция ава общий масса заметно проверять музыка отдельный разговор заказывать песня имя смочь вести запоминать хотя весь вечер весь заказ стоимость руб берег живой музыка весь руб вывод первый последний роща язык доваривать жеваться рыбный нарезка старый рыба,"[('шашлык люля', np.float64(0.0067288457097339546)), ('старый рыба', np.float64(0.009859007320179481)), ('люля ароматный', np.float64(0.013600349565232225)), ('приносить шашлык', np.float64(0.013600349565232225)), ('столик заранее', np.float64(0.013744540466609615))]"
Караван,Positive,"Отличная база отдыха, часто с семьей отдыхаем здесь. Доброжелательный персонал. Хотелось бы оставить отельный отзыв про кафе, еда очень вкусная и по приятной цене. Так же в кафе можно приобрести домашние сыры, молоко и так далее.  Советую хоть раз посетить караван! ",отличный база отдых часто семья отдыхать доброжелательный персонал хотеться оставлять отельный отзыв кафе еда очень вкусный приятный цена кафе приобретать домашний сыр молоко далее советовать посещать караван,"[('отличный база', np.float64(0.01842270036858818)), ('посещать караван', np.float64(0.01842270036858818)), ('база отдых', np.float64(0.0306441008900016)), ('семья отдыхать', np.float64(0.0306441008900016)), ('отдыхать доброжелательный', np.float64(0.0306441008900016))]"
Альтаир,Positive,"Кафе не назовёшь, но столовая классная. Быстрое обслуживание, персонал хороший, вежливый. Еда вкусная, по цене приемлемо, короче твёрдая 5!",кафе называть столовая классный быстрый обслуживание персонал хороший вежливый еда вкусный цена приемлемый короче твердый,"[('кафе называть', np.float64(0.04940384002065631)), ('короче твердый', np.float64(0.04940384002065631)), ('называть столовая', np.float64(0.09700399286574239)), ('столовая классный', np.float64(0.09700399286574239)), ('классный быстрый', np.float64(0.09700399286574239))]"
BuuzaLove,Negative,Все равно не опубликуете мой отзыв. Но! Подали салат Цезарь с испорченными листьями салата. Позы были нормальными. Больше туда не зайду.,равный опубликовывать отзыв подавать салат цезарь испорченный лист салат поза нормальный туда зайти,"[('равный опубликовывать', np.float64(0.019943439662486344)), ('опубликовывать отзыв', np.float64(0.033100028790236186)), ('отзыв подавать', np.float64(0.033100028790236186)), ('цезарь испорченный', np.float64(0.033100028790236186)), ('испорченный лист', np.float64(0.033100028790236186))]"
Кавказская Пленница,Negative,"Давно хотели сходить в это заведение. Выбрали день рождения подруги, позвонили, нам положительно ответили. Собрались довольные, вызвали такси, и при входе в данное место огромное лицо ,с порога сообщило, что именно Вы сюда не зайдëте. Лично мы, потому что он так хочет и не вышли лицом. Это что было? Пьяные хари сновали туда, сюда. Но нам в грубой форме было отказано. Мы просто в шоке от этого вышибалы. Хотелось бы знать, почему такой отбор посетителей, и как стать прекрасными для Вашей забегаловки? Больше ни ногой, благо есть верный, добрый Шипр. Замечательно провели время. ",давно хотеть сходить заведение выбирать день рождение подруга позвонить положительно отвечать собираться довольный вызывать такси вход данный место огромный лицо порог сообщать именно сюда зайти лично хотеть выходить лицо пьяный харя сновать туда сюда грубый форма отказывать просто шок вышибала хотеться знать почему отбор посетитель становиться прекрасный ваш забегаловка нога благо верный добрый шипр замечательно проводить время,"[('сходить заведение', np.float64(0.030813241675512887)), ('заведение выбирать', np.float64(0.030813241675512887)), ('рождение подруга', np.float64(0.030813241675512887)), ('подруга позвонить', np.float64(0.030813241675512887)), ('позвонить положительно', np.float64(0.030813241675512887))]"
Махалино,Negative,"есть хорошая питьевая вода   за неё звезда. асфальтированная парковка, туалет бесплатный в помещении кафе. в кафе пища почему-то постоянно пересланная,есть можно. хлеб в открытом доступе,люди выходят после туалета или с улицы не помыв руки и лапают всё до чего дотягиваются.",хороший питьевой вода звезда асфальтировать парковка туалет бесплатный помещение кафе кафе пища постоянно пересылать хлеб открытый доступ человек выходить туалет улица помыть рука лапать дотягиваться,"[('хороший питьевой', np.float64(0.019943439662486344)), ('лапать дотягиваться', np.float64(0.019943439662486344)), ('питьевой вода', np.float64(0.033100028790236186)), ('вода звезда', np.float64(0.033100028790236186)), ('звезда асфальтировать', np.float64(0.033100028790236186))]"
Лесной театр фон Мекка,Positive,"Спасибо большое прекрасным людям, которые облагородили наше озеро! Тут проводятся разные мастер-классы, тематические вечера и концерты. Очень нравится это место🙏🏻",спасибо большой прекрасный человек который облагораживать наш озеро проводиться разный тематический вечер концерт очень нравиться место,"[('нравиться место', np.float64(0.04940384002065631)), ('большой прекрасный', np.float64(0.09700399286574239)), ('озеро проводиться', np.float64(0.09700399286574239)), ('проводиться разный', np.float64(0.09700399286574239)), ('разный тематический', np.float64(0.09700399286574239))]"
