name,true_sentiment,text,normalized_text
Слой х Вспышка,Positive,"Самая любимая кафешка на районе: вкуснейший кофе и выпечка, большой выбор красивых эклеров (дочь обожает и съедает по 2 штуки за раз😄). С удовольствием приходим сюда с друзьями, родными. Иногда тут бывает многовато людей и официанты бывают немного фрустрированы, но всегда очень внимательны и дружелюбны – при любой посадке про вас не забудут🤍",самый любимая кафешка район вкусный кофе выпечка большой выбор красивый эклер дочь обожать съедать штука удовольствие приходить сюда друг родные бывать многовато человек официант бывать немного фрустрировать очень внимательный дружелюбный любой посадка забывать
Оливье Жиру,Negative,"Ну , вот добрался наконец и до вас 👌 Что можно сказать о качестве блюд домашней кухни , как было заявлено в рекламных буклетах и баннерах ,  Не дотягивает даже на троечку , по десятибалльной шкале , блюда при наличии микроволновых печей , всё равно остаются холодные  ! Качество мойки столовых приборов , ну может быть моют в туалетной комнате персонала в субботу , подали вилку с засохшем куском какой то субстанции  , попросил поменять , принесли практически  такую же , только субстанции меньше !  Со стороны кассы ,  персонала , и прилавка с кормом ( по другому я не могу это назвать ) постоянно кто то ходит , какой-то человек с длинными волосами , тут же его обгоняет мадам  в платке траурном из средней Азии  , и всё это происходит  рядом с кормом , который находится в доступности их бацил , волос , слюней и тд  .. По персоналу пройдусь отдельно ,  Натянутые улыбки , не первой свежести спец одежда  , какая то полубандана на головах , из которой торчат и падают , ВОЛОСЫ ( это общепит ребята , вы угораете ?)  Дверь входная , постоянно открыта , не имеете возможности поставить кондиционер в помещении ?? ( зачем тогда вы этим занимаетесь ?? )  Уборка отвратительная  , полы грязные , столы аналогично   ! Нет элементарных салфеток за столами , что бы протереть ваши немытые вилки , ножи , ложки !  Качество блюд не особо радует , потому , что попробовал их холодными ,  Драники у вас это плевок в душу поварскому искусству ,  Вообщем дегустация вашей кулинарии , получилась провальной , какая то 1000 рублей на заказанные позиции ,  и вы в топе моего чёрного списка  ! Даже не хочется оставлять вам шанс на реабилитацию 👌",добираться сказать качество блюдо домашний кухня заявлять рекламный буклет баннер дотягивать троечка десятибалльный шкала блюдо наличие микроволновый печь равный оставаться холодный качество мойка столовый прибор мочь мыть туалетный комната персонал суббота подавать вилка засыхать кусок субстанция попросить поменять приносить практически субстанция мало сторона касса персонал прилавок корм мочь называть постоянно ходить человек длинный волос оно обгонять мадам платок траурный средний азия весь происходить рядом корм который находиться доступность бацил волос слюни персонал проходиться отдельно натягивать улыбка первый свежесть спец одежда полубандана голова который торчать падать волос общепит ребята угорать дверь входной постоянно открывать иметь возможность поставлять кондиционер помещение заниматься уборка отвратительный пол грязный стол аналогично элементарный салфетка стол протирать ваш немытый вилка нож ложка качество блюдо особо радовать попробовать холодный драник плевок душа поварской искусство вообщий дегустация ваш кулинария получаться провальный рубль заказывать позиция топ черный список хотеться оставлять шанс реабилитация
BBQ kitchen,Positive,"Шикарное место, вкусно готовит, приятная атмосфера! Только официанты далеко не. Сразу обращают внимания",шикарный место вкусно готовить приятный атмосфера официант далеко сразу обращать внимание
Роща,Negative,"23.02.23 отмечали день рождение в Роще, столик заранее заказали на 17 часов. Была заказана сковорода с картошкой и мясом... Блюдо было приготовлено из мороженной картошки, она была сладкая, но ОЧЕНЬ шикарно сдобрено перцем. Также были заказаны шашлыки, люля и ароматные куриные крылышки... В 21 час пошли требовать где вышеперечисленные яства, но получили грубую брань, с дерзким переходом на ТЫ. Расчёт наверно был на то, что народ не трезвый и забудет про заказ. Но мы не забыли. Чтобы отделаться от нас, нам наконец принесли шашлыки, люля и крылышки, но все это тупо разбросали на две тарелки мясной кучей. В этом ассорти было уменьшено количество порции, ав общей массе этого не заметно, но мы все проверили... А музыка это отдельный разговор! Заказали песню, так даже имя не смог ведущий запомнить, хотя за весь вечер всего три заказа было. Стоимость 300 руб.!!! В Береге живая музыка и всего 200 руб.. Вывод:первый и последний раз в Роще. Еще:язык был не доварен, не жевался, а рыбная нарезка из старой рыбы. ",отмечать день рождение роща столик заранее заказывать час заказывать сковорода картошка мясо блюдо приготавливать мороженный картошка сладкий очень шикарно сдабривать перец также заказывать шашлык люля ароматный куриный крылышко час пойти требовать вышеперечисленный яство получать грубый брань дерзкий переход расчет наверно народ трезвый забывать заказ забывать отделываться приносить шашлык люля крылышко весь тупо разбрасывать тарелка мясной куча ассорти уменьшать количество порция ава общий масса заметно проверять музыка отдельный разговор заказывать песня имя смочь вести запоминать хотя весь вечер весь заказ стоимость руб берег живой музыка весь руб вывод первый последний роща язык доваривать жеваться рыбный нарезка старый рыба
Караван,Positive,"Отличная база отдыха, часто с семьей отдыхаем здесь. Доброжелательный персонал. Хотелось бы оставить отельный отзыв про кафе, еда очень вкусная и по приятной цене. Так же в кафе можно приобрести домашние сыры, молоко и так далее.  Советую хоть раз посетить караван! ",отличный база отдых часто семья отдыхать доброжелательный персонал хотеться оставлять отельный отзыв кафе еда очень вкусный приятный цена кафе приобретать домашний сыр молоко далее советовать посещать караван
Альтаир,Positive,"Кафе не назовёшь, но столовая классная. Быстрое обслуживание, персонал хороший, вежливый. Еда вкусная, по цене приемлемо, короче твёрдая 5!",кафе называть столовая классный быстрый обслуживание персонал хороший вежливый еда вкусный цена приемлемый короче твердый
BuuzaLove,Negative,Все равно не опубликуете мой отзыв. Но! Подали салат Цезарь с испорченными листьями салата. Позы были нормальными. Больше туда не зайду.,равный опубликовывать отзыв подавать салат цезарь испорченный лист салат поза нормальный туда зайти
Кавказская Пленница,Negative,"Давно хотели сходить в это заведение. Выбрали день рождения подруги, позвонили, нам положительно ответили. Собрались довольные, вызвали такси, и при входе в данное место огромное лицо ,с порога сообщило, что именно Вы сюда не зайдëте. Лично мы, потому что он так хочет и не вышли лицом. Это что было? Пьяные хари сновали туда, сюда. Но нам в грубой форме было отказано. Мы просто в шоке от этого вышибалы. Хотелось бы знать, почему такой отбор посетителей, и как стать прекрасными для Вашей забегаловки? Больше ни ногой, благо есть верный, добрый Шипр. Замечательно провели время. ",давно хотеть сходить заведение выбирать день рождение подруга позвонить положительно отвечать собираться довольный вызывать такси вход данный место огромный лицо порог сообщать именно сюда зайти лично хотеть выходить лицо пьяный харя сновать туда сюда грубый форма отказывать просто шок вышибала хотеться знать почему отбор посетитель становиться прекрасный ваш забегаловка нога благо верный добрый шипр замечательно проводить время
Махалино,Negative,"есть хорошая питьевая вода   за неё звезда. асфальтированная парковка, туалет бесплатный в помещении кафе. в кафе пища почему-то постоянно пересланная,есть можно. хлеб в открытом доступе,люди выходят после туалета или с улицы не помыв руки и лапают всё до чего дотягиваются.",хороший питьевой вода звезда асфальтировать парковка туалет бесплатный помещение кафе кафе пища постоянно пересылать хлеб открытый доступ человек выходить туалет улица помыть рука лапать дотягиваться
Лесной театр фон Мекка,Positive,"Спасибо большое прекрасным людям, которые облагородили наше озеро! Тут проводятся разные мастер-классы, тематические вечера и концерты. Очень нравится это место🙏🏻",спасибо большой прекрасный человек который облагораживать наш озеро проводиться разный тематический вечер концерт очень нравиться место
Чайхана,Negative,"Одно слово - отвратительно! Забежал по дороге купить плов. Внутри очень грязно, куда смотрит СЭС.? Приехал домой, открыл банку с пловом, а там один кусочек мяса на всю порцию за 200 р. По вкусу, это никакой не плов, это рис с сухой морковкой. Ещё более отвратительно, что хозяин был очень вежливый :""Посмотрите меню, оставьте отзыв"", а в результате плохая еда и ощущение, что тебя надули(подставьте любое бранное слово). И да, чек тоже не дали, повод для Налоговой заглянуть. В общем-не рекомендую! ",слово отвратительно забегать дорога купить плов внутри очень грязно смотреть сэс приезжать домой открывать банка плов кусочек мясо весь порция вкус никакой плов рис сухой морковка отвратительно хозяин очень вежливый посмотреть меню оставлять отзыв результат плохой еда ощущение надувать подставлять любой бранный слово чек давать повод налоговый заглядывать общий рекомендовать
Тайяки,Negative,"Буду вспоминать ужасный вкус лука ещё неделю, перебивает вкус всего в мире. Курица отвратительная, будто один жир жуешь. Свинина деревянная. Официанты суетные, помещение маленькое, мест мало. Повара почему-то без головных уборов и перчаток выходят с кухни. 0/10",вспоминать ужасный вкус лук неделя перебивать вкус мир курица отвратительный жир жевать свинина деревянный официант суетный помещение маленький место мало повар головной убор перчатка выходить кухня
Kaunis Paikka,Positive,"Замечательное место, спасло нас от голода по приезду в Сортавала, которая встретила нас холодом и дождем! Здесь вкусный завтрак и ужин. Прекрасные женщины, которые Вас обязательно накормят! Очень советую! Была с двумя детьми: 8 и 15 лет.",замечательный место спасать голод приезд сортавала который встречать холод дождь вкусный завтрак ужин прекрасный женщина который обязательно накормить очень советовать ребенок год
Скалка,Positive,"Чисто, уютно, доброжелательно. Вкусные суточные щи. Вкусные пельмени, с большим количеством начинки и чесночным соусом. Рекомендуем к посещению))",чисто уютно доброжелательно вкусный суточный вкусный пельмень большой количество начинка чесночный соус рекомендовать посещение
Кафе-музей мотоциклов Гонщик,Positive,"Прекрасное место, вежливый персонал. Вкусная кухня. Были с ребёнком все в восторге.",прекрасный место вежливый персонал вкусный кухня ребенок восторг
